player_id,surname,forename,player_name,player_dob,comp_rec_pos
ACourtAlan19340930,A'Court,Alan,Alan A'Court,1934-09-30,Outside Left
AdamsArthur,Adams,Arthur,Arthur Adams,,Outside Right
AdamsEdward19081112,Adams,Edward,Edward Adams,1908-11-12,Outside Right
AdkinsNigel19650311,Adkins,Nigel,Nigel Adkins,1965-03-11,Goalkeeper
AlcockEdward1914,Alcock,Edward,Edward Alcock,,Outside Left
AldridgeJohn19580918,Aldridge,John,John Aldridge,1958-09-18,Forward
AlexanderAlex19240928,Alexander,Alex,Alex Alexander,1924-09-28,Outside Left
AlldisGillie19200126,Alldis,Gillie,Gillie Alldis,1920-01-26,Right Half
AllenMark19631218,Allen,Mark,Mark Allen,1963-12-18,Forward
AllenRussell19540109,Allen,Russell,Russell Allen,1954-01-09,Forward
AlmondJohn41915,Almond,John,John Almond,,Outside Left
AmeryCharlie19100916,Amery,Charlie,Charlie Amery,1910-09-16,Left Back
AndersJimmy19280308,Anders,Jimmy,Jimmy Anders,1928-03-08,Outside Left
AndersonDoug19630829,Anderson,Doug,Doug Anderson,1963-08-29,Outside Left
AndersonTed19110717,Anderson,Ted,Ted Anderson,1911-07-17,Wing Half
ArnellAlan19331125,Arnell,Alan,Alan Arnell,1933-11-25,Center Forward
AshcroftBilly19521001,Ashcroft,Billy,Billy Ashcroft,1952-10-01,Central Defender
AshcroftLlew19210710,Ashcroft,Llew,Llew Ashcroft,1921-07-10,Outside Right
AshworthBarry19420815,Ashworth,Barry,Barry Ashworth,1942-08-15,Right Half
AspinallJohn19590315,Aspinall,John,John Aspinall,1959-03-15,Midfielder
AtkinsonHarold19250728,Atkinson,Harold,Harold Atkinson,1925-07-28,Center Forward
BainbridgeBill19220309,Bainbridge,Bill,Bill Bainbridge,1922-03-09,Inside Right
BakerHorace19100901,Baker,Horace,Horace Baker,1910-09-01,Outside Right
BaldwinEdmund31910,Baldwin,Edmund,Edmund Baldwin,,Center Forward
BamberJack18950411,Bamber,Jack,Jack Bamber,1895-04-11,Center Half
